X,Y,id,name,population
-73.5698,45.5032,places.1,Montréal,1762949
-71.2084,46.8137,places.2,Québec,549459
-73.7531,45.5758,places.3,Laval,438366
-75.711,45.4278,places.4,Gatineau,291041
-73.4645,45.5219,places.5,Longueuil,254483
-71.889,45.4033,places.6,Sherbrooke,172950
-71.1779,46.8033,places.7,Lévis,149683
-71.0692,48.406,places.8,Saguenay,144723
-72.5428,46.3432,places.9,Trois-Rivières,139163
-73.6515,45.7081,places.10,Terrebonne,119944
-73.2533,45.3057,places.11,Saint-Jean-sur-Richelieu,97873
-73.4679,45.4555,places.12,Brossard,91525
-73.4528,45.7326,places.13,Repentigny,86100
-74.0033,45.778,places.14,Saint-Jérôme,80213
-72.5019,45.8864,places.15,Drummondville,79258
-72.7218,45.399,places.16,Granby,69025
-74.0732,45.6452,places.17,Mirabel,61108
-73.8762,45.6793,places.18,Blainville,59819
-72.9406,45.6275,places.19,Saint-Hyacinthe,57239
-73.6006,45.7454,places.20,Mascouche,51183
-73.7494,45.3602,places.21,Châteauguay,50815
-72.7519,46.5397,places.22,Shawinigan,49620
-68.53,48.4502,places.23,Rimouski,48935
-73.8065,45.4842,places.24,Dollard-des-Ormeaux,48403
-71.9599,46.0555,places.25,Victoriaville,47760
-73.893,45.5646,places.26,Saint-Eustache,45276
-74.0255,45.3972,places.27,Vaudreuil-Dorion,43268
-74.1317,45.2556,places.28,Salaberry-de-Valleyfield,42787
-79.0205,48.2421,places.29,Rouyn-Noranda,42313
-73.4526,45.605,places.30,Boucherville,41743
-73.1165,46.0435,places.31,Sorel-Tracy,35165
-73.6638,45.4773,places.32,Côte-Saint-Luc,34504
-73.8067,45.4567,places.33,Pointe-Claire,33488
-70.672,46.123,places.34,Saint-Georges,32935
-77.7876,48.1023,places.35,Val-d'Or,32752
-73.2937,45.4483,places.36,Chambly,31444
-71.6515,48.5489,places.37,Alma,30331
-73.3396,45.5931,places.38,Sainte-Julie,30045
-73.5705,45.3725,places.39,Saint-Constant,29954
-72.1481,45.2658,places.40,Magog,28312
-73.8386,45.613,places.41,Boisbriand,28308
-73.8362,45.6343,places.42,Sainte-Thérèse,26533
-73.4891,45.4175,places.43,La Prairie,26406
-73.3392,45.5256,places.44,Saint-Bruno-de-Montarville,26273
-71.3013,46.0913,places.45,Thetford Mines,26072
